STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
501Y021,"성장성 지표(2007~2010, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(2007~2010, 표본조사)"
501Y022,"성장성 지표(1998~2007, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(1998~2007, 표본조사)"
501Y023,"성장성 지표(1990~1997, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(1990~1997, 표본조사)"
501Y006,"손익 지표(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(제11차 한국표준산업분류, 2009~)"
501Y024,"손익 지표(중소기업기본법, 2015~2016)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(중소기업기본법, 2015~2016)"
501Y025,"손익 지표(조세특례제한법, 2009~2014)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(조세특례제한법, 2009~2014)"
501Y026,"손익 지표(2007~2010, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(2007~2010, 표본조사)"
501Y027,"손익 지표(1998~2007, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(1998~2007, 표본조사)"
501Y028,"손익 지표(1990~1997, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 손익 지표 > 손익 지표(1990~1997, 표본조사)"
501Y007,"자산/자본 지표(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(제11차 한국표준산업분류, 2009~)"
501Y029,"자산/자본 지표(중소기업기본법, 2015~2016)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(중소기업기본법, 2015~2016)"
501Y030,"자산/자본 지표(조세특례제한법, 2009~2014)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(조세특례제한법, 2009~2014)"
501Y031,"자산/자본 지표(2007~2010, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(2007~2010, 표본조사)"
501Y032,"자산/자본 지표(1998~2007, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(1998~2007, 표본조사)"
501Y033,"자산/자본 지표(1990~1997, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 지표 > 자산/자본 지표(1990~1997, 표본조사)"
501Y008,"자산/자본 회전율(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(제11차 한국표준산업분류, 2009~)"
501Y034,"자산/자본 회전율(중소기업기본법, 2015~2016)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(중소기업기본법, 2015~2016)"
501Y035,"자산/자본 회전율(조세특례제한법, 2009~2014)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(조세특례제한법, 2009~2014)"
501Y036,"자산/자본 회전율(2007~2010, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(2007~2010, 표본조사)"
501Y037,"자산/자본 회전율(1998~2007, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(1998~2007, 표본조사)"
501Y038,"자산/자본 회전율(1990~1997, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 자산/자본 회전율 > 자산/자본 회전율(1990~1997, 표본조사)"
501Y009,"생산성 지표(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(제11차 한국표준산업분류, 2009~)"
501Y039,"생산성 지표(중소기업기본법, 2015~2016)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(중소기업기본법, 2015~2016)"
501Y040,"생산성 지표(조세특례제한법, 2009~2014)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(조세특례제한법, 2009~2014)"
501Y041,"생산성 지표(2007~2010, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(2007~2010, 표본조사)"
501Y042,"생산성 지표(2002~2007, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(2002~2007, 표본조사)"
501Y043,"생산성 지표(1998~2006, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(1998~2006, 표본조사)"
501Y044,"생산성 지표(1990~1997, 표본조사)",A,"기업경영분석 > 기업경영분석지표(연) > 생산성 지표 > 생산성 지표(1990~1997, 표본조사)"
501Y086,"분위수(제11차 한국표준산업분류, 2013~)",A,"기업경영분석 > 기업경영분석지표(연) > 분위수 > 분위수(제11차 한국표준산업분류, 2013~)"
502Y001,성장성 지표,Q,기업경영분석 > 기업경영분석지표(분기) > 성장성 지표
502Y002,손익 지표,Q,기업경영분석 > 기업경영분석지표(분기) > 손익 지표
502Y003,자산/자본 지표,Q,기업경영분석 > 기업경영분석지표(분기) > 자산/자본 지표
502Y004,자산 회전율,Q,기업경영분석 > 기업경영분석지표(분기) > 자산 회전율
501Y001,"재무상태표(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(제11차 한국표준산업분류, 2009~)"
501Y049,"재무상태표(중소기업기본법, 2015~2016)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(중소기업기본법, 2015~2016)"
501Y050,"재무상태표(조세특례제한법, 2009~2014)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(조세특례제한법, 2009~2014)"
501Y051,"재무상태표(2008~2010, 표본조사)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(2008~2010, 표본조사)"
501Y052,"재무상태표(2000~2007, 표본조사)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(2000~2007, 표본조사)"
501Y053,"재무상태표(1999, 표본조사)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(1999, 표본조사)"
501Y054,"재무상태표(1997~1998, 표본조사)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(1997~1998, 표본조사)"
501Y055,"재무상태표(1990~1996, 표본조사)",A,"기업경영분석 > 재무상태표(연) > 재무상태표(1990~1996, 표본조사)"
501Y002,"손익계산서(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(제11차 한국표준산업분류, 2009~)"
501Y056,"손익계산서(중소기업기본법, 2015~2016)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(중소기업기본법, 2015~2016)"
501Y057,"손익계산서(조세특례제한법, 2009~2014)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(조세특례제한법, 2009~2014)"
501Y058,"손익계산서(2008~2010, 표본조사)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(2008~2010, 표본조사)"
501Y059,"손익계산서(2000~2007, 표본조사)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(2000~2007, 표본조사)"
501Y060,"손익계산서(1999, 표본조사)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(1999, 표본조사)"
501Y061,"손익계산서(1997~1998, 표본조사)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(1997~1998, 표본조사)"
